"type","buyAmount","buyCurrency","sellAmount","sellCurrency","feeAmount","feeCurrency","exchange","tradeGroup","comment","date"
"Mining",0.06155629,"HNT2",,,,,"Test Wallet",,,"2021-02-17 12:57:52"
"Mining",0.06197251,"HNT2",,,,,"Test Wallet",,,"2021-02-17 13:25:44"
"Mining",0.06139021,"HNT2",,,,,"Test Wallet",,,"2021-02-17 20:05:02"
"Mining",0.06186507,"HNT2",,,,,"Test Wallet",,,"2021-02-17 23:58:57"
"Mining",0.06065628,"HNT2",,,,,"Test Wallet",,,"2021-02-18 04:14:27"
"Mining",0.06430143,"HNT2",,,,,"Test Wallet",,,"2021-02-18 08:14:18"
"Mining",0.05947782,"HNT2",,,,,"Test Wallet",,,"2021-02-18 09:13:51"
"Mining",0.060102380000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-18 11:46:22"
"Mining",0.13006310000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-18 19:50:22"
"Mining",0.06294596,"HNT2",,,,,"Test Wallet",,,"2021-02-19 04:21:20"
"Mining",0.061026580000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-19 08:41:41"
"Mining",0.0783835,"HNT2",,,,,"Test Wallet",,,"2021-02-19 16:00:14"
"Mining",0.06285444,"HNT2",,,,,"Test Wallet",,,"2021-02-19 19:27:03"
"Mining",0.05574587,"HNT2",,,,,"Test Wallet",,,"2021-02-19 19:55:16"
"Mining",0.05737208,"HNT2",,,,,"Test Wallet",,,"2021-02-19 23:23:08"
"Mining",0.05734637,"HNT2",,,,,"Test Wallet",,,"2021-02-20 02:57:47"
"Mining",0.056211000000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-20 06:17:25"
"Mining",0.05920943,"HNT2",,,,,"Test Wallet",,,"2021-02-20 06:47:54"
"Mining",0.05973251,"HNT2",,,,,"Test Wallet",,,"2021-02-20 14:23:05"
"Mining",0.08391088000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-20 22:52:03"
"Mining",0.09958587,"HNT2",,,,,"Test Wallet",,,"2021-02-21 13:41:47"
"Mining",0.055132810000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-21 14:44:17"
"Mining",0.05162453,"HNT2",,,,,"Test Wallet",,,"2021-02-21 17:03:20"
"Mining",0.06807621,"HNT2",,,,,"Test Wallet",,,"2021-02-21 22:36:58"
"Mining",0.06192078,"HNT2",,,,,"Test Wallet",,,"2021-02-22 04:19:01"
"Mining",0.07790312,"HNT2",,,,,"Test Wallet",,,"2021-02-22 08:56:06"
"Mining",0.06754649,"HNT2",,,,,"Test Wallet",,,"2021-02-22 09:59:41"
"Mining",0.08223758,"HNT2",,,,,"Test Wallet",,,"2021-02-22 13:39:27"
"Mining",0.052558850000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-22 16:03:03"
"Mining",0.08884976,"HNT2",,,,,"Test Wallet",,,"2021-02-22 18:06:42"
"Mining",0.054384510000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-23 02:26:33"
"Mining",0.05955975,"HNT2",,,,,"Test Wallet",,,"2021-02-23 06:15:53"
"Mining",0.0576514,"HNT2",,,,,"Test Wallet",,,"2021-02-23 09:54:36"
"Mining",0.11147958000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-23 20:35:02"
"Mining",0.0514294,"HNT2",,,,,"Test Wallet",,,"2021-02-24 01:19:17"
"Mining",0.05477973,"HNT2",,,,,"Test Wallet",,,"2021-02-24 09:16:12"
"Mining",0.05988402,"HNT2",,,,,"Test Wallet",,,"2021-02-24 14:00:55"
"Mining",0.05466268,"HNT2",,,,,"Test Wallet",,,"2021-02-24 18:54:47"
"Mining",0.05796467,"HNT2",,,,,"Test Wallet",,,"2021-02-25 03:16:29"
"Mining",0.05982911,"HNT2",,,,,"Test Wallet",,,"2021-02-25 07:03:07"
"Mining",0.05827408,"HNT2",,,,,"Test Wallet",,,"2021-02-25 19:34:29"
"Mining",0.054588410000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-25 23:35:32"
"Mining",0.05571501,"HNT2",,,,,"Test Wallet",,,"2021-02-26 00:14:10"
"Mining",0.05525074,"HNT2",,,,,"Test Wallet",,,"2021-02-26 03:49:44"
"Mining",0.05452164,"HNT2",,,,,"Test Wallet",,,"2021-02-26 07:22:35"
"Mining",0.05316321,"HNT2",,,,,"Test Wallet",,,"2021-02-26 11:07:16"
"Mining",0.05414496,"HNT2",,,,,"Test Wallet",,,"2021-02-26 21:09:03"
"Mining",0.05694424,"HNT2",,,,,"Test Wallet",,,"2021-02-27 00:46:27"
"Mining",0.05289871,"HNT2",,,,,"Test Wallet",,,"2021-02-27 01:25:40"
"Mining",0.05410193,"HNT2",,,,,"Test Wallet",,,"2021-02-27 04:52:52"
"Mining",0.05512907,"HNT2",,,,,"Test Wallet",,,"2021-02-27 05:23:24"
"Mining",0.05433552,"HNT2",,,,,"Test Wallet",,,"2021-02-27 08:41:53"
"Mining",0.05457933,"HNT2",,,,,"Test Wallet",,,"2021-02-27 09:27:56"
"Mining",0.0592334,"HNT2",,,,,"Test Wallet",,,"2021-02-27 15:12:03"
"Mining",0.055347190000000004,"HNT2",,,,,"Test Wallet",,,"2021-02-27 23:00:08"
"Mining",0.05537428,"HNT2",,,,,"Test Wallet",,,"2021-02-28 02:51:38"
