Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date
Mining,3.41e-05,HNT2,,,,,Helium,,Block 842485,2021-05-13 12:58:27
Mining,0.71055177,HNT2,,,,,Helium,,Block 842519,2021-05-13 13:35:13
Mining,3.431e-05,HNT2,,,,,Helium,,Block 842618,2021-05-13 15:10:34
Mining,0.05773966,HNT2,,,,,Helium,,Block 842651,2021-05-13 15:43:50
Mining,0.6698125699999999,HNT2,,,,,Helium,,Block 842696,2021-05-13 16:30:11
Mining,0.03880595,HNT2,,,,,Helium,,Block 842729,2021-05-13 17:05:02
Mining,0.1776597,HNT2,,,,,Helium,,Block 842819,2021-05-13 18:34:44
Mining,2.896e-05,HNT2,,,,,Helium,,Block 842855,2021-05-13 19:13:07
Mining,2.22e-05,HNT2,,,,,Helium,,Block 842963,2021-05-13 21:25:17
Mining,0.04426634,HNT2,,,,,Helium,,Block 843035,2021-05-13 22:43:55
Mining,1.051e-05,HNT2,,,,,Helium,,Block 843070,2021-05-13 23:18:32
Mining,1.041e-05,HNT2,,,,,Helium,,Block 843116,2021-05-14 00:04:35
Mining,0.04425771999999999,HNT2,,,,,Helium,,Block 843214,2021-05-14 01:52:48
Mining,0.21559457,HNT2,,,,,Helium,,Block 843327,2021-05-14 03:45:13
Mining,0.03885279,HNT2,,,,,Helium,,Block 843454,2021-05-14 06:09:30
Mining,3.034e-05,HNT2,,,,,Helium,,Block 843588,2021-05-14 08:26:13
Mining,2.552e-05,HNT2,,,,,Helium,,Block 843692,2021-05-14 10:03:12
Mining,0.0887548,HNT2,,,,,Helium,,Block 843745,2021-05-14 10:59:34
Mining,2.969e-05,HNT2,,,,,Helium,,Block 843840,2021-05-14 12:38:24
Mining,0.35505062000000004,HNT2,,,,,Helium,,Block 843890,2021-05-14 13:41:37
Mining,0.63877284,HNT2,,,,,Helium,,Block 843924,2021-05-14 14:17:46
Mining,0.03846025,HNT2,,,,,Helium,,Block 843957,2021-05-14 14:54:42
Mining,0.04436088,HNT2,,,,,Helium,,Block 843997,2021-05-14 15:40:52
Mining,3.229e-05,HNT2,,,,,Helium,,Block 844074,2021-05-14 17:25:25
Mining,0.03769565,HNT2,,,,,Helium,,Block 844115,2021-05-14 18:15:50
Mining,0.12290609,HNT2,,,,,Helium,,Block 844148,2021-05-14 18:59:14
Mining,1.463e-05,HNT2,,,,,Helium,,Block 844226,2021-05-14 20:41:01
Mining,0.05512999,HNT2,,,,,Helium,,Block 844295,2021-05-14 22:09:02
Mining,1.089e-05,HNT2,,,,,Helium,,Block 844331,2021-05-14 22:51:02
Mining,0.03517034,HNT2,,,,,Helium,,Block 844371,2021-05-14 23:39:42
Mining,1.503e-05,HNT2,,,,,Helium,,Block 844444,2021-05-15 01:04:19
Mining,1.549e-05,HNT2,,,,,Helium,,Block 844577,2021-05-15 02:58:24
Mining,2.197e-05,HNT2,,,,,Helium,,Block 844686,2021-05-15 04:33:10
Mining,0.06210977,HNT2,,,,,Helium,,Block 844720,2021-05-15 05:02:42
Mining,1.998e-05,HNT2,,,,,Helium,,Block 844823,2021-05-15 06:37:46
Mining,0.04301298,HNT2,,,,,Helium,,Block 844919,2021-05-15 08:05:07
Mining,2.267e-05,HNT2,,,,,Helium,,Block 844957,2021-05-15 08:39:17
Mining,2.713e-05,HNT2,,,,,Helium,,Block 845070,2021-05-15 10:16:02
Mining,0.10943351,HNT2,,,,,Helium,,Block 845228,2021-05-15 12:28:49
Mining,2.963e-05,HNT2,,,,,Helium,,Block 845313,2021-05-15 13:53:44
Mining,0.0392709,HNT2,,,,,Helium,,Block 845349,2021-05-15 14:29:48
Mining,2.608e-05,HNT2,,,,,Helium,,Block 845429,2021-05-15 16:04:42
Mining,2.853e-05,HNT2,,,,,Helium,,Block 845561,2021-05-15 18:11:29
Mining,2.253e-05,HNT2,,,,,Helium,,Block 845692,2021-05-15 20:01:43
Mining,8.17e-06,HNT2,,,,,Helium,,Block 845816,2021-05-15 20:13:53
Mining,0.09656176,HNT2,,,,,Helium,,Block 845911,2021-05-15 21:47:48
Mining,1.355e-05,HNT2,,,,,Helium,,Block 845959,2021-05-15 22:34:11
Mining,1.288e-05,HNT2,,,,,Helium,,Block 846080,2021-05-16 00:26:26
Mining,1.309e-05,HNT2,,,,,Helium,,Block 846184,2021-05-16 01:54:34
Mining,1.552e-05,HNT2,,,,,Helium,,Block 846309,2021-05-16 03:42:52
Mining,0.05277031,HNT2,,,,,Helium,,Block 846419,2021-05-16 05:24:36
Mining,1.143e-05,HNT2,,,,,Helium,,Block 846452,2021-05-16 05:53:53
Mining,0.06236196,HNT2,,,,,Helium,,Block 846486,2021-05-16 06:24:57
Mining,1.29635521,HNT2,,,,,Helium,,Block 846520,2021-05-16 06:54:47
Mining,2.63e-05,HNT2,,,,,Helium,,Block 846554,2021-05-16 07:24:21
Mining,2.739e-05,HNT2,,,,,Helium,,Block 846694,2021-05-16 09:23:25
Mining,0.27188523,HNT2,,,,,Helium,,Block 846730,2021-05-16 09:56:37
Mining,2.712e-05,HNT2,,,,,Helium,,Block 846810,2021-05-16 11:06:10
Mining,0.41492675,HNT2,,,,,Helium,,Block 846845,2021-05-16 11:40:38
Mining,3.367e-05,HNT2,,,,,Helium,,Block 846939,2021-05-16 13:12:36
Mining,0.05938977,HNT2,,,,,Helium,,Block 846974,2021-05-16 13:45:34
Mining,0.06658862,HNT2,,,,,Helium,,Block 847013,2021-05-16 14:19:35
Mining,4.996e-05,HNT2,,,,,Helium,,Block 847067,2021-05-16 15:08:39
Mining,3.584e-05,HNT2,,,,,Helium,,Block 847190,2021-05-16 16:56:22
Mining,0.07529133,HNT2,,,,,Helium,,Block 847309,2021-05-16 18:43:37
Mining,1.919e-05,HNT2,,,,,Helium,,Block 847422,2021-05-16 20:27:30
Mining,0.12732062,HNT2,,,,,Helium,,Block 847500,2021-05-16 21:45:40
Mining,1.809e-05,HNT2,,,,,Helium,,Block 847538,2021-05-16 22:22:49
Mining,2.16862378,HNT2,,,,,Helium,,Block 847573,2021-05-16 22:54:38
