Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date,Tx-ID,Buy Value in your Account Currency,Sell Value in your Account Currency
Mining,0.07648538,HNT2,,,,,Helium,,Block 837696,2021-05-09 19:57:21,,1.3101945594,
Mining,0.30885181,HNT2,,,,,Helium,,Block 837732,2021-05-09 20:35:40,,5.2998970596,
Mining,0.26981636,HNT2,,,,,Helium,,Block 837888,2021-05-09 23:09:24,,4.5398491284519995,
Mining,0.035905120000000006,HNT2,,,,,Helium,,Block 837928,2021-05-09 23:48:07,,0.6036168441782961,
Mining,2.904e-05,HNT2,,,,,Helium,,Block 837962,2021-05-10 00:19:54,,0.0004899048,
Mining,0.04334708,HNT2,,,,,Helium,,Block 838151,2021-05-10 03:35:58,,0.7273330092378001,
Mining,0.94510714,HNT2,,,,,Helium,,Block 838199,2021-05-10 04:18:38,,15.902532990006659,
Mining,0.05722907,HNT2,,,,,Helium,,Block 838490,2021-05-10 08:48:37,,0.9702894809875782,
Mining,0.19575139,HNT2,,,,,Helium,,Block 838664,2021-05-10 11:33:04,,3.5619020800095,
Mining,0.09729734,HNT2,,,,,Helium,,Block 838698,2021-05-10 12:05:36,,1.770427263507,
Mining,0.04933998,HNT2,,,,,Helium,,Block 838880,2021-05-10 15:27:46,,0.8860091223555,
Mining,0.04933998,HNT2,,,,,Helium,,Block 838880,2021-05-10 15:27:46,,0.8860091223555,
Withdrawal,,,25.0,HNT2,0.019279627610092716,HNT2,Helium,,Block 838989,2021-05-10 17:56:45,,,453.84694025
Mining,0.05325853,HNT2,,,,,Helium,,Block 838993,2021-05-10 18:07:35,,0.9671938813468243,
Mining,0.17177287,HNT2,,,,,Helium,,Block 839096,2021-05-10 19:46:51,,3.0984441822460997,
Mining,1.01912978,HNT2,,,,,Helium,,Block 839146,2021-05-10 20:36:17,,18.257022096098503,
Mining,3.659e-05,HNT2,,,,,Helium,,Block 839200,2021-05-10 21:34:34,,0.00063762118195,
Mining,0.06133023,HNT2,,,,,Helium,,Block 839271,2021-05-10 22:51:48,,1.061957464542,
Mining,0.9228740599999999,HNT2,,,,,Helium,,Block 839412,2021-05-11 02:48:59,,15.01331520808,
Mining,0.0550648,HNT2,,,,,Helium,,Block 839476,2021-05-11 03:55:32,,0.8918796097679998,
Mining,1.232e-05,HNT2,,,,,Helium,,Block 839761,2021-05-11 08:43:17,,0.0001999867472064,
Withdrawal,,,21.0,HNT2,0.021571190011676174,HNT2,Helium,,Block 839779,2021-05-11 09:08:09,,,340.73224500000003
Mining,0.05006583,HNT2,,,,,Helium,,Block 839799,2021-05-11 09:29:06,,0.8122477492588499,
Mining,0.03921083,HNT2,,,,,Helium,,Block 839834,2021-05-11 10:02:41,,0.6364603898525001,
Mining,4.4279999999999996e-05,HNT2,,,,,Helium,,Block 839917,2021-05-11 11:27:03,,0.0007300003013999999,
Mining,0.04101964,HNT2,,,,,Helium,,Block 840052,2021-05-11 13:44:37,,0.6833872024000001,
Mining,0.04331638,HNT2,,,,,Helium,,Block 840101,2021-05-11 14:40:20,,0.7264156926,
Mining,4.486e-05,HNT2,,,,,Helium,,Block 840134,2021-05-11 15:22:42,,0.0007400541787238,
Mining,0.04117505,HNT2,,,,,Helium,,Block 840332,2021-05-11 19:51:03,,0.6892215445657499,
Mining,0.14167355,HNT2,,,,,Helium,,Block 840367,2021-05-11 20:51:29,,2.3729738763445005,
Mining,2.682e-05,HNT2,,,,,Helium,,Block 840416,2021-05-11 22:08:21,,0.00045003960000000005,
Mining,0.05153755,HNT2,,,,,Helium,,Block 840483,2021-05-11 23:49:23,,0.869953844,
Mining,1.61160737,HNT2,,,,,Helium,,Block 840556,2021-05-12 01:36:26,,27.2976473741655,
Mining,0.04351472,HNT2,,,,,Helium,,Block 840622,2021-05-12 03:16:48,,0.7403513706182624,
Mining,0.73648673,HNT2,,,,,Helium,,Block 840661,2021-05-12 04:05:15,,12.552348407091499,
Mining,0.04329163,HNT2,,,,,Helium,,Block 840844,2021-05-12 06:59:35,,0.7420185382,
Mining,0.05281315,HNT2,,,,,Helium,,Block 840877,2021-05-12 07:28:32,,0.9072401346450001,
Mining,0.053613,HNT2,,,,,Helium,,Block 841112,2021-05-12 11:13:16,,0.9036471150000001,
Mining,0.26016041,HNT2,,,,,Helium,,Block 841200,2021-05-12 12:36:05,,4.374389165822,
Mining,0.27511421,HNT2,,,,,Helium,,Block 841362,2021-05-12 15:09:26,,4.610016247343687,
Mining,0.04858996,HNT2,,,,,Helium,,Block 841554,2021-05-12 18:12:15,,0.80980027336,
Mining,0.051585729999999996,HNT2,,,,,Helium,,Block 841622,2021-05-12 19:22:19,,0.84972014456,
Mining,0.06309873,HNT2,,,,,Helium,,Block 841726,2021-05-12 21:34:59,,1.0351599051420002,
Mining,1.5740000000000002e-05,HNT2,,,,,Helium,,Block 841849,2021-05-13 00:09:26,,0.00026000906,
Mining,0.0476112,HNT2,,,,,Helium,,Block 841882,2021-05-13 00:56:03,,0.7873226088,
Mining,0.64493892,HNT2,,,,,Helium,,Block 842066,2021-05-13 04:22:36,,9.8159703624,
Mining,1.706e-05,HNT2,,,,,Helium,,Block 842101,2021-05-13 04:56:35,,0.0002599944,
Mining,0.10616512,HNT2,,,,,Helium,,Block 842167,2021-05-13 05:58:59,,1.6413127552000002,
Mining,2.642e-05,HNT2,,,,,Helium,,Block 842330,2021-05-13 09:30:48,,0.0004208706,
Mining,0.05187763,HNT2,,,,,Helium,,Block 842369,2021-05-13 10:11:40,,0.8336735141,
Mining,0.22051847000000002,HNT2,,,,,Helium,,Block 842437,2021-05-13 11:49:49,,3.5525525517000003,
Mining,3.41e-05,HNT2,,,,,Helium,,Block 842485,2021-05-13 12:58:27,,0.000549952865,
Mining,0.71055177,HNT2,,,,,Helium,,Block 842519,2021-05-13 13:35:13,,11.0107457555085,
Mining,3.431e-05,HNT2,,,,,Helium,,Block 842618,2021-05-13 15:10:34,,0.00051996805,
Mining,0.05773966,HNT2,,,,,Helium,,Block 842651,2021-05-13 15:43:50,,0.876109844027,
Mining,0.6698125699999999,HNT2,,,,,Helium,,Block 842696,2021-05-13 16:30:11,,10.203603181346399,
Mining,0.03880595,HNT2,,,,,Helium,,Block 842729,2021-05-13 17:05:02,,0.59485194486575,
Mining,0.1776597,HNT2,,,,,Helium,,Block 842819,2021-05-13 18:34:44,,2.6993614818,
Mining,2.896e-05,HNT2,,,,,Helium,,Block 842855,2021-05-13 19:13:07,,0.00044001824000000004,
Mining,2.22e-05,HNT2,,,,,Helium,,Block 842963,2021-05-13 21:25:17,,0.000319974372,
Mining,0.04426634,HNT2,,,,,Helium,,Block 843035,2021-05-13 22:43:55,,0.629615647039,
Mining,1.051e-05,HNT2,,,,,Helium,,Block 843070,2021-05-13 23:18:32,,0.0001500129085,
Mining,1.041e-05,HNT2,,,,,Helium,,Block 843116,2021-05-14 00:04:35,,0.00014995605,
Mining,0.04425771999999999,HNT2,,,,,Helium,,Block 843214,2021-05-14 01:52:48,,0.6512605374781999,
Mining,0.21559457,HNT2,,,,,Helium,,Block 843327,2021-05-14 03:45:13,,3.211626071462,
Mining,0.03885279,HNT2,,,,,Helium,,Block 843454,2021-05-14 06:09:30,,0.579951711051,
Mining,3.034e-05,HNT2,,,,,Helium,,Block 843588,2021-05-14 08:26:13,,0.000449990744,
Mining,2.552e-05,HNT2,,,,,Helium,,Block 843692,2021-05-14 10:03:12,,0.00037996600399999996,
Mining,0.0887548,HNT2,,,,,Helium,,Block 843745,2021-05-14 10:59:34,,1.314458588,
Mining,2.969e-05,HNT2,,,,,Helium,,Block 843840,2021-05-14 12:38:24,,0.000450067741,
Mining,0.35505062000000004,HNT2,,,,,Helium,,Block 843890,2021-05-14 13:41:37,,5.4088056400180005,
Mining,0.63877284,HNT2,,,,,Helium,,Block 843924,2021-05-14 14:17:46,,9.731001567276,
Mining,0.03846025,HNT2,,,,,Helium,,Block 843957,2021-05-14 14:54:42,,0.5858996024750001,
Mining,0.04436088,HNT2,,,,,Helium,,Block 843997,2021-05-14 15:40:52,,0.685088359302,
Mining,3.229e-05,HNT2,,,,,Helium,,Block 844074,2021-05-14 17:25:25,,0.0005000342216999999,
Mining,0.03769565,HNT2,,,,,Helium,,Block 844115,2021-05-14 18:15:50,,0.5876751834999999,
Mining,0.12290609,HNT2,,,,,Helium,,Block 844148,2021-05-14 18:59:14,,1.91831825272,
Mining,1.463e-05,HNT2,,,,,Helium,,Block 844226,2021-05-14 20:41:01,,0.000230037731,
Mining,0.05512999,HNT2,,,,,Helium,,Block 844295,2021-05-14 22:09:02,,0.8633356433999999,
Mining,1.089e-05,HNT2,,,,,Helium,,Block 844331,2021-05-14 22:51:02,,0.00016997112000000002,
Mining,0.03517034,HNT2,,,,,Helium,,Block 844371,2021-05-14 23:39:42,,0.543381753,
Mining,1.503e-05,HNT2,,,,,Helium,,Block 844444,2021-05-15 01:04:19,,0.000229959,
Mining,1.549e-05,HNT2,,,,,Helium,,Block 844577,2021-05-15 02:58:24,,0.00023996488399999997,
Mining,2.197e-05,HNT2,,,,,Helium,,Block 844686,2021-05-15 04:33:10,,0.00034005671310000004,
Mining,0.06210977,HNT2,,,,,Helium,,Block 844720,2021-05-15 05:02:42,,0.96611747235,
Mining,1.998e-05,HNT2,,,,,Helium,,Block 844823,2021-05-15 06:37:46,,0.0003100268628,
Mining,0.04301298,HNT2,,,,,Helium,,Block 844919,2021-05-15 08:05:07,,0.6684217092,
Mining,2.267e-05,HNT2,,,,,Helium,,Block 844957,2021-05-15 08:39:17,,0.0003500248,
Mining,2.713e-05,HNT2,,,,,Helium,,Block 845070,2021-05-15 10:16:02,,0.0004120876081,
Mining,0.10943351,HNT2,,,,,Helium,,Block 845228,2021-05-15 12:28:49,,1.6391542068754001,
Mining,2.963e-05,HNT2,,,,,Helium,,Block 845313,2021-05-15 13:53:44,,0.000440041056,
Mining,0.0392709,HNT2,,,,,Helium,,Block 845349,2021-05-15 14:29:48,,0.582780156,
Mining,2.608e-05,HNT2,,,,,Helium,,Block 845429,2021-05-15 16:04:42,,0.0003899375976,
Mining,2.853e-05,HNT2,,,,,Helium,,Block 845561,2021-05-15 18:11:29,,0.00042994909709999997,
Mining,2.253e-05,HNT2,,,,,Helium,,Block 845692,2021-05-15 20:01:43,,0.00033006326085,
